,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
636,196,57,1,['laboratori creativi'],['laboratori creativi azioni']
520,108,114,1,['servizi alle famiglie con bambini asilo nido'],['servizi alle famiglie con bambini anni punto bimbi']
573,114,134,1,['aree riservate alle mamme in gravidanza'],['aree riservate alle mamme in gravidanza']
608,131,66,1,['realizzazione di un area verde attrezzata'],['realizzazione di un area attrezzata']
539,110,101,1,['banca del tempo'],['banca del tempo']
546,110,196,1,['collaborazione con la cooperativa cs di pergine'],['collaborazione con il centro socio educativo della cooperativa cs di pergine']
493,90,131,1,['area urbanistica e ambiente perugia citt del sollievo'],['area urbanistica e ambiente perugia smart city']
610,131,73,1,['a'],['a']
579,116,114,1,['baby pit stop unicef'],['baby pit stop unicef']
625,135,73,1,['a'],['a']
491,90,113,1,['educativa domiciliare'],['educativa domiciliare']
503,97,56,1,['attivita di sensibilizzazione pari opportunit'],['attivit di sensibilizzazione ecologia']
618,131,196,1,['parchi giochi'],['giochi in parco']
633,196,54,1,['panchina rossa'],['panchina rossa']
504,97,58,1,['c'],['c']
569,114,110,1,['spazi a misura di bambino e collocazione fasciatoi'],['spazi a misura di bambino e collocazione fasciatoi']
649,196,85,1,['c servizio educativo territoriale'],['servizio educativo territoriale']
650,196,89,1,['progetti relativi all educazione contro il bullismo e le buone pratiche ambientali'],['progetti relativi all educazione contro il bullismo']
651,196,108,1,['area servizi alla persona e alla famiglia progetto educare in comune'],['area servizi alla persona e alla famiglia prima infanzia']
589,121,26,1,['contributo per acquisto medicine'],['contributo per acquisto medicine']
515,108,64,1,['f'],['f']
590,121,57,1,['acquisto e installazione defibrillatore'],['acquisto e installazione defibrillatore']
623,134,135,1,['ambiente e qualit della vita parcheggi rosa'],['ambiente e qualit della vita sentieri family']
567,114,57,1,['acquisto e installazione fasciatoi'],['acquisto e installazione defibrillatore']
629,196,18,1,['prosecuzione collaborazione con l istituto comprensivo val rendena'],['prosecuzione della collaborazione con il distretto famiglia val rendena']
630,196,26,1,['contributo straordinario scuola primaria di daiano varena'],['contributo straordinario scuola primaria di daiano varena']
591,121,64,1,['f'],['f']
