,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
21,3,18,6,"['progetto destinazione famiglia', 'massima collaborazione con il distretto famiglia di val rendena', 'collaborazione con il distretto famiglia val rendena', 'conciliazione tempi lavoro e famiglia', 'network nazionale dei comuni amici della famiglia']","['progetto destinazione famiglia', 'network nazionale dei comuni amici della famiglia', 'conciliazione tempi lavoro e famiglia', 'prosecuzione della collaborazione con il distretto famiglia val rendena']"
231,46,89,5,['materiale informativo'],['serate informative']
416,68,73,5,"['attivit organizzate dagli assessorati comunali sport e turismo cultura e istruzione politiche sociali e prima infanzia', 'c promozione organizzazione eventi culturali', 'promozione organizzazione di eventi culturali']","['attivit organizzate dagli assessorati comunali sport e turismo cultura e istruzione politiche sociali e prima infanzia', 'promozione organizzazione di eventi sportivi', 'c promozione organizzazione eventi sportivi']"
155,28,70,5,"['visita al trincerone di grigno biglietto gratuito per minori di anni', 'area cultura sport e qualit della vita impianti sportivi']","['area cultura sport e qualit della vita', 'visita al trincerone di grigno biglietto gratuito per minori di anni']"
434,70,62,5,"['proseguimento del gemellaggio telve di sopra corropoli', 'gemellaggio daun', 'progetto casa de gentili benvenuto al turista']","['proseguimento del gemellaggio telve di sopra corropoli', 'gemellaggio con daun', 'progetto di servizio civile casa de gentili benvenuto al turista']"
526,110,1,5,"['sostegno all auto organizzazione delle famiglie progetto centro famiglie', 'sostegno all auto organizzazione delle famiglie', 'interventi a sostegno della conciliazione dei tempi famiglia lavoro']","['sostegno all auto organizzazione delle famiglie promozione iniziative', 'interventi a sostegno della conciliazione dei tempi famiglia lavoro']"
249,52,9,5,"['evento formativo e informativo sull utilizzo della rete informatica', 'evento formativo e informativo sullutilizzo della rete informatica']",['evento formativo e informativo sull utilizzo della rete informatica']
607,131,64,5,"['parco giochi', 'campo sportivo']","['parco giochi', 'campo sportivo']"
509,103,56,5,"['m illumino di meno', 'mobilit elettrica', 'certificazione ambientale emas']","['m illumino di meno', 'mobilit elettrica', 'educazione ambientale']"
266,54,70,5,"['insieme per un nuovo protagonista familiare', 'progetto insieme per un nuovo protagonismo familiare', 'insieme per un nuovo protagonismo familiare']",['insieme per un nuovo protagonismo familiare']
210,30,121,5,"['progetto di sostegno ed accompagnamento alla maternit denominato qui mamma ci cova', 'progetto di sostegno e accompagnamento alla maternit', 'progetto di sostegno ed accompagnamento alla maternit', 'progetto di sostegno ed accompagnamento alla maternita']",['progetto di sostegno ed accompagnamento alla maternit']
380,65,70,5,"['visite culturali didattiche per famiglie', 'arcadia', 'latte in festa']","['visite culturali didattiche per famiglie', 'arcadia', 'latte in festa']"
422,68,110,5,"['attivit della terza et', 'messa a disposizione di sale', 'servizi della biblioteca per la comunit iniziative per i bimbi', 'servizi della biblioteca alla comunit per le famiglie adulti']","['servizi della biblioteca alla comunit iniziative per le famiglie adulti', 'messa a disposizione di sale', 'attivit per la terza et']"
598,127,3,5,"['servizi per la conciliazione dei tempo famiglia lavoro territorio', 'servizi per la conciliazione dei tempi famiglia lavoro territorio']",['servizi per la conciliazione dei tempi famiglia lavoro']
180,29,65,5,"['sale per le associazioni', 'spazi di aggregazione', 'sostegno economico alle associazioni', 'comunit educante', 'sostegno alle associazioni locali']","['festa delle associazioni', 'aggregazione anziani', 'sostegno associazioni locali', 'comunit educante']"
0,1,3,5,"['progetto destinazione famiglia', 'area conciliazione famiglia lavoro organizzazioni', 'sensibilizzare il territorio promuovendo il distretto famiglia e le certificazioni familiari', 'rispetto del disciplinare family in trentino', 'disciplinare family in trentino']","['progetto destinazione famiglia', 'promuovere il distretto famiglia e le certificazioni family', 'area conciliazione famiglia lavoro organizzazioni', 'rispetto del disciplinare family in trentino']"
245,51,110,5,"['sostegno all auto organizzazione delle famiglie sportello famiglie psicologico', 'sportello condominiale', 'area community care family hub']","['sostegno all auto organizzazione delle famiglie progetto centro famiglie', 'sportello condominiale', 'community care family hub']"
124,26,21,5,"['specifiche agevolazioni finanziarie', 'agevolazioni per i servizi di conciliazione', 'interventi economici politiche tariffarie servizi di conciliazione', 'contributo spese primarie', 'agevolazioni tariffarie']","['specifiche agevolazioni finanziarie', 'interventi economici politiche tariffarie servizi cimiteriali', 'agevolazioni per i servizi comunali', 'contributo spese primarie', 'agevolazioni tariffarie']"
34,5,29,5,"['nuovo regolamento per contributi alle associazioni', 'contributi annuali alle associazioni', 'sistema incentivi comunali', 'nuovo regolamento per i contributi alle associazioni']","['contributi annuali alle associazioni', 'sistema incentivi comunali', 'nuovo regolamento per i contributi alle associazioni']"
101,18,196,5,"['protocollo citta scuola', 'idee e progettualit', 'idee e progettualita']","['idee e progettualit', 'protocollo d intesa citta scuola']"
