,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
82,181,pannolini_nati_benvenuto_rifiuti_nuovi,"[16, 18, 28, 52, 67, 74, 84, 97]",139,pannolini_rifiuti_tariffa_lavabili_tariffe,172,nati_benvenuto_nuovi_kit_figlio,1.1141265926888957
81,180,sci_levico_ski_piscina_pass,"[47, 60, 66, 76, 86, 87, 89, 93]",175,sci_ski_piscina_pass_ginnastica,133,levico_terme_da_ripropone_alleggerire,1.1013820255006197
80,179,parcheggi_rosa_uffici_baby_apertura,"[11, 20, 25, 29, 42, 43, 64, 95]",164,parcheggi_rosa_baby_parcheggio_fasciatoio,173,uffici_apertura_orario_comunali_orari,1.0791326650829527
79,178,terza_universitа_laboratori_creativi_natale,"[40, 45, 46, 49, 50, 51, 58, 59, 63, 68, 70, 72, 73, 80, 82, 88, 98]",177,terza_universitа_etа_illumino_lingua,147,creativi_laboratori_natale_ecomuseo_babbo,1.0753931461551887
78,177,terza_universitа_etа_illumino_lingua,"[40, 46, 49, 50, 58, 59, 63, 68, 72, 73, 80, 82, 88, 98]",168,lingua_madrelingua_cre_inglese_lingue,174,terza_universitа_illumino_etа_alimentare,1.0674551172559656
77,176,asilo_nido_convenzione_conciliazione_servizio,"[14, 48, 55, 57, 78]",151,conciliazione_animazione_estivo_tempi_asilo,100,asilo_nido_convenzione_servizio_infanzia,1.0626606503832123
76,175,sci_ski_piscina_pass_ginnastica,"[47, 60, 66, 86, 87, 89]",158,sci_ski_pass_ginnastica_yoga,146,piscina_tariffe_malи_tennis_agevolate,1.051727487271754
75,174,terza_universitа_illumino_etа_alimentare,"[40, 46, 49, 58, 59, 68, 72, 73, 82, 88, 98]",170,alimentare_raccolta_caritas_spreco_solidale,167,terza_universitа_illumino_etа_disponibile,1.0477329878492403
74,173,uffici_apertura_orario_comunali_orari,"[20, 29, 42, 43, 64]",148,wifi_digitale_internet_free_tecnologie,129,uffici_apertura_orario_comunali_orari,1.041935314500438
73,172,nati_benvenuto_nuovi_kit_figlio,"[16, 52, 67, 74, 84]",154,nati_benvenuto_nuovi_kit_nato,123,bonus_bebи_gas_elettrica_energia,1.0405893020991426
